"","year","crop","treatment","min_yield","median_yield","max_yield","avg_yield","sd_yield"
"1","2023","AS","BM",0.450415831387218,0.583231722019,0.640994453285203,0.564468432177605,0.0915002784079751
"2","2023","AS","CM",0.343189343786095,0.664854454708909,1.15309466730045,0.70649823012609,0.334419666630615
"3","2023","AS","SM",0.634324416796982,0.772812888218369,0.899809091284849,0.769939821129642,0.114011515219062
"4","2023","DB","BM",3.14952018792926,3.56931269418094,4.14661708953048,3.60869066645541,0.481492257880113
"5","2023","DB","CM",3.30523809195767,4.07467828824547,4.35974251578133,3.95358429605748,0.452757951163189
"6","2023","DB","SM",3.89007722459889,4.43186071557328,4.74867847883844,4.37561928364597,0.356569068425543
"7","2023","FC","BM",0.163252641320097,3.39221407609482,4.10219801921085,2.93402096063451,1.59217383563295
"8","2023","FC","CM",2.96355928360005,3.44907443287109,4.31565712668462,3.54434131900671,0.679969906009517
"9","2023","FC","SM",0.135984068264433,3.98294465570413,4.25106290027395,3.28141397023535,1.76895338737318
"10","2024","AS","BM",0.0218866178473098,0.0317535357292937,0.0552547401391099,0.0351621073612518,0.0158927232738922
"11","2024","AS","CM",0.0513079729863163,0.0810881251392132,0.117685420556026,0.0827924109551923,0.0271761599929203
"12","2024","AS","SM",0.052025567014097,0.102795344479578,0.110150683264329,0.0919417348093955,0.0268553033609319
"13","2024","DB","BM",0.344086336320821,0.487066946356115,1.06562713125426,0.595961840071828,0.322842488010562
"14","2024","DB","CM",0.211331441181401,0.282373249931685,0.653728159308171,0.357451525088235,0.201295970488442
"15","2024","DB","SM",0.18800963527853,0.256360466424637,1.08033780882377,0.445267094237892,0.427265129890303
"16","2024","FC","BM",0.575151613266189,6.10098442419107,7.81782813565627,5.33674678460468,2.76784073516306
"17","2024","FC","CM",2.00531651063302,5.59292785252237,9.42308597580158,5.65356454786984,3.03216263491633
"18","2024","FC","SM",2.15852283556419,4.65682644328252,9.21570130177297,5.5794370848001,3.34203604033339
