"Time","Bare Soil","Cardboard Mulch"
2023-07-06 12:45:52,19.1 %,15.6 %
2023-07-06 13:00:58,18.9 %,15.4 %
2023-07-06 13:15:58,18.8 %,15.4 %
2023-07-06 13:31:06,18.9 %,15.2 %
2023-07-06 13:46:17,18.7 %,15.4 %
2023-07-06 14:01:24,18.7 %,15.2 %
2023-07-06 14:16:31,18.6 %,15.3 %
2023-07-06 14:31:36,18.4 %,15.3 %
2023-07-06 14:46:42,18.3 %,15.3 %
2023-07-06 15:01:54,18.3 %,15.1 %
2023-07-06 15:16:59,18.2 %,15.1 %
2023-07-06 15:32:05,18.1 %,15 %
2023-07-06 15:47:13,18.1 %,15.1 %
2023-07-06 16:02:12,18 %,15.1 %
2023-07-06 16:17:24,18.1 %,15 %
2023-07-06 16:32:31,18.1 %,15 %
2023-07-06 16:47:38,17.9 %,15 %
2023-07-06 17:02:46,17.9 %,15 %
2023-07-06 17:17:57,17.9 %,15 %
2023-07-06 17:33:04,17.8 %,14.8 %
2023-07-06 17:48:11,17.9 %,14.8 %
2023-07-06 18:03:18,17.7 %,15 %
2023-07-06 18:18:28,17.8 %,14.8 %
2023-07-06 18:33:40,17.7 %,14.9 %
2023-07-06 18:48:51,17.8 %,14.9 %
2023-07-06 19:03:56,17.7 %,14.8 %
2023-07-06 19:18:56,17.8 %,14.8 %
2023-07-06 19:33:56,17.7 %,14.8 %
2023-07-06 19:49:02,17.6 %,15 %
2023-07-06 20:04:14,17.8 %,14.8 %
2023-07-06 20:19:20,17.6 %,14.9 %
2023-07-06 20:34:26,17.6 %,14.8 %
2023-07-06 20:49:31,17.6 %,14.8 %
2023-07-06 21:04:41,17.7 %,15 %
2023-07-06 21:19:47,17.6 %,15 %
2023-07-06 21:34:53,17.6 %,15 %
2023-07-06 21:49:59,17.7 %,15 %
2023-07-06 22:05:05,17.6 %,14.8 %
2023-07-06 22:20:16,17.6 %,14.8 %
2023-07-06 22:35:21,17.6 %,14.8 %
2023-07-06 22:50:28,17.6 %,14.9 %
2023-07-06 23:05:33,17.5 %,15 %
2023-07-06 23:20:39,17.7 %,14.9 %
2023-07-06 23:35:49,17.4 %,15.1 %
2023-07-06 23:50:49,17.6 %,14.8 %
2023-07-07 00:05:48,17.6 %,14.8 %
2023-07-07 00:20:56,17.7 %,15 %
2023-07-07 00:36:02,17.6 %,14.9 %
2023-07-07 00:51:11,17.7 %,15 %
2023-07-07 01:06:19,17.6 %,15 %
2023-07-07 01:21:24,17.6 %,14.8 %
2023-07-07 01:36:31,17.4 %,14.9 %
2023-07-07 01:51:37,17.7 %,15 %
2023-07-07 02:06:46,17.6 %,15 %
2023-07-07 02:21:57,17.6 %,14.9 %
2023-07-07 02:36:58,17.6 %,14.9 %
2023-07-07 02:52:05,17.7 %,14.9 %
2023-07-07 03:07:04,17.6 %,15 %
2023-07-07 03:22:10,17.6 %,15 %
2023-07-07 03:37:21,17.5 %,15 %
2023-07-07 03:52:28,17.5 %,15 %
2023-07-07 04:07:27,17.6 %,14.9 %
2023-07-07 04:22:34,17.5 %,14.8 %
2023-07-07 04:37:39,17.6 %,14.9 %
2023-07-07 04:52:50,17.6 %,15 %
2023-07-07 05:07:51,17.5 %,15 %
2023-07-07 05:22:58,17.6 %,14.9 %
2023-07-07 05:38:04,17.6 %,14.9 %
2023-07-07 05:53:10,17.6 %,15 %
2023-07-07 06:08:20,17.6 %,14.9 %
2023-07-07 06:23:30,17.6 %,14.8 %
2023-07-07 06:38:40,17.6 %,14.9 %
2023-07-07 06:53:46,17.6 %,15 %
2023-07-07 07:08:52,17.8 %,14.8 %
2023-07-07 07:23:58,17.6 %,14.9 %
2023-07-07 07:39:04,17.5 %,14.9 %
2023-07-07 07:54:14,17.6 %,15 %
2023-07-07 08:09:13,17.4 %,15 %
2023-07-07 08:24:20,17.5 %,14.8 %
2023-07-07 08:39:26,17.7 %,14.9 %
2023-07-07 08:54:33,17.6 %,14.8 %
2023-07-07 09:09:44,17.5 %,14.8 %
2023-07-07 09:24:50,17.4 %,14.8 %
2023-07-07 09:39:55,17.4 %,14.7 %
2023-07-07 09:55:01,17.4 %,14.8 %
2023-07-07 10:10:08,17.3 %,14.5 %
2023-07-07 10:25:19,17.3 %,14.7 %
2023-07-07 10:40:27,17.3 %,14.7 %
2023-07-07 10:55:32,17.1 %,14.5 %
2023-07-07 11:10:32,17.1 %,14.5 %
2023-07-07 11:25:40,17.1 %,14.5 %
2023-07-07 11:40:50,17 %,14.5 %
2023-07-07 11:55:56,17 %,14.5 %
2023-07-07 12:11:03,16.9 %,14.4 %
2023-07-07 12:26:09,16.9 %,14.4 %
2023-07-07 12:41:15,16.7 %,14.2 %
2023-07-07 12:56:27,16.8 %,14.2 %
2023-07-07 13:11:32,16.7 %,14.3 %
2023-07-07 13:26:40,16.6 %,14.4 %
2023-07-07 13:41:45,16.6 %,14.2 %
2023-07-07 13:56:57,16.5 %,14.2 %
2023-07-07 14:12:04,16.5 %,14.2 %
2023-07-07 14:27:11,16.4 %,14.1 %
2023-07-07 14:42:16,16.4 %,14.1 %
2023-07-07 14:57:22,16.5 %,14.1 %
2023-07-07 15:12:34,16.3 %,14.1 %
2023-07-07 15:27:44,16.4 %,14.1 %
2023-07-07 15:42:51,16.2 %,13.9 %
2023-07-07 15:57:59,16.2 %,14.1 %
2023-07-07 16:12:58,16 %,13.9 %
2023-07-07 16:28:05,16 %,13.9 %
2023-07-07 16:43:15,16 %,13.8 %
2023-07-07 16:58:15,15.9 %,13.9 %
2023-07-07 17:13:21,16 %,13.8 %
2023-07-07 17:28:28,15.9 %,13.9 %
2023-07-07 17:43:34,15.9 %,13.9 %
2023-07-07 17:58:32,16 %,13.7 %
2023-07-07 18:13:43,15.9 %,13.9 %
2023-07-07 18:28:54,15.9 %,13.8 %
2023-07-07 18:44:00,15.9 %,13.9 %
2023-07-07 18:59:07,15.9 %,13.8 %
2023-07-07 19:14:13,15.7 %,13.8 %
2023-07-07 19:29:20,15.8 %,13.8 %
2023-07-07 19:44:19,15.8 %,13.9 %
2023-07-07 20:52:35,15.7 %,13.9 %
2023-07-07 20:54:06,15.7 %,13.9 %
2023-07-07 21:09:13,15.7 %,13.9 %
2023-07-07 21:24:21,15.7 %,13.9 %
2023-07-07 21:39:28,15.6 %,13.9 %
2023-07-07 21:54:27,15.7 %,13.9 %
2023-07-07 22:09:40,15.7 %,13.9 %
2023-07-07 22:24:46,15.7 %,13.8 %
2023-07-07 22:39:51,15.7 %,13.9 %
2023-07-07 22:54:58,15.7 %,13.8 %
2023-07-07 23:10:05,15.7 %,13.8 %
2023-07-07 23:25:15,15.7 %,13.9 %
2023-07-07 23:40:25,15.8 %,13.9 %
2023-07-07 23:55:35,15.7 %,13.9 %
2023-07-08 00:10:43,15.7 %,13.9 %
2023-07-08 00:25:42,15.8 %,13.9 %
2023-07-08 02:23:48,15.7 %,13.9 %
2023-07-08 02:25:37,15.7 %,14.1 %
2023-07-08 02:40:37,15.7 %,13.9 %
2023-07-08 02:55:44,15.7 %,13.9 %
2023-07-08 03:10:49,15.9 %,14.1 %
2023-07-08 03:26:01,15.7 %,13.9 %
2023-07-08 03:41:06,15.7 %,13.9 %
2023-07-08 03:56:14,15.7 %,13.9 %
2023-07-08 04:11:19,15.7 %,14 %
2023-07-08 04:26:30,15.7 %,13.9 %
2023-07-08 04:41:35,15.8 %,13.8 %
2023-07-08 04:56:41,15.7 %,13.9 %
2023-07-08 05:11:49,15.7 %,14 %
2023-07-08 05:26:58,15.7 %,13.9 %
2023-07-08 05:42:08,15.7 %,14 %
2023-07-08 05:57:19,15.7 %,13.9 %
2023-07-08 06:12:28,15.8 %,13.9 %
2023-07-08 06:27:35,15.8 %,13.9 %
2023-07-08 06:42:41,15.8 %,13.9 %
2023-07-08 06:57:47,15.8 %,13.9 %
2023-07-08 07:12:47,15.6 %,13.9 %
2023-07-08 07:27:57,15.6 %,13.8 %
2023-07-08 07:43:08,15.7 %,13.9 %
2023-07-08 07:58:18,15.8 %,13.8 %
2023-07-08 08:13:28,15.8 %,13.9 %
2023-07-08 08:28:38,15.7 %,13.9 %
2023-07-08 08:43:49,15.8 %,14 %
2023-07-08 08:59:01,15.7 %,13.9 %
2023-07-08 09:14:11,15.8 %,13.8 %
2023-07-08 09:29:17,15.7 %,13.8 %
2023-07-08 09:44:24,15.7 %,13.7 %
2023-07-08 09:59:29,15.8 %,13.6 %
2023-07-08 10:14:40,15.7 %,13.6 %
2023-07-08 10:29:46,15.7 %,13.6 %
2023-07-08 10:44:45,15.6 %,13.5 %
2023-07-08 10:59:51,15.6 %,13.6 %
2023-07-08 11:14:58,15.6 %,13.5 %
2023-07-08 11:30:08,15.6 %,13.5 %
2023-07-08 11:45:14,15.4 %,13.5 %
2023-07-08 12:00:20,15.6 %,13.6 %
2023-07-08 12:15:25,15.4 %,13.5 %
2023-07-08 12:30:31,15.3 %,13.5 %
2023-07-08 12:45:42,15.2 %,13.3 %
2023-07-08 13:00:48,15.3 %,13.2 %
2023-07-08 13:15:53,15.1 %,13.2 %
2023-07-08 13:31:00,15.3 %,13.2 %
2023-07-08 13:46:11,15.1 %,13.2 %
2023-07-08 14:01:22,15.1 %,13.2 %
2023-07-08 14:16:22,15 %,13.2 %
2023-07-08 14:31:28,15.1 %,13.1 %
2023-07-08 14:46:34,15 %,13.1 %
2023-07-08 15:01:42,15.1 %,13.1 %
2023-07-08 15:16:53,15 %,12.9 %
2023-07-08 15:32:00,15 %,13 %
2023-07-08 15:47:06,14.9 %,13.1 %
2023-07-08 16:02:13,15 %,12.9 %
2023-07-08 16:17:20,14.9 %,12.9 %
2023-07-08 16:32:19,14.8 %,13 %
2023-07-08 16:47:25,14.8 %,13.1 %
2023-07-08 17:02:33,14.8 %,12.9 %
2023-07-08 17:17:39,14.7 %,12.9 %
2023-07-08 17:32:52,14.7 %,12.9 %
2023-07-08 17:47:57,14.7 %,12.9 %
2023-07-08 18:03:03,14.7 %,12.9 %
2023-07-08 18:18:09,14.5 %,12.8 %
2023-07-08 18:33:17,14.7 %,12.9 %
2023-07-08 18:48:27,14.5 %,12.9 %
2023-07-08 19:03:27,14.5 %,12.8 %
2023-07-08 19:18:35,14.6 %,12.8 %
2023-07-08 19:33:40,14.6 %,12.8 %
2023-07-08 19:48:48,14.5 %,12.9 %
2023-07-08 20:03:58,14.4 %,12.8 %
2023-07-08 20:19:04,14.7 %,12.8 %
2023-07-08 20:34:10,14.5 %,13 %
2023-07-08 20:49:16,14.5 %,13 %
2023-07-08 21:04:24,14.5 %,12.9 %
2023-07-08 21:19:35,14.5 %,12.9 %
2023-07-08 21:34:40,14.5 %,12.9 %
2023-07-08 21:49:48,14.6 %,12.9 %
2023-07-08 22:04:54,14.5 %,12.9 %
2023-07-08 22:19:54,14.6 %,13 %
2023-07-08 22:35:05,14.5 %,13 %
2023-07-08 22:50:11,14.6 %,12.9 %
2023-07-08 23:05:11,14.5 %,12.9 %
2023-07-08 23:20:18,14.5 %,12.9 %
2023-07-08 23:35:25,14.6 %,13 %
2023-07-08 23:50:34,14.6 %,12.9 %
2023-07-09 00:05:33,14.7 %,13.1 %
2023-07-09 00:20:41,14.5 %,13 %
2023-07-09 00:35:46,14.6 %,13.1 %
2023-07-09 00:50:53,14.5 %,12.9 %
2023-07-09 01:06:02,14.6 %,13.1 %
2023-07-09 01:21:01,14.4 %,12.9 %
2023-07-09 01:36:09,14.7 %,13 %
2023-07-09 01:51:15,14.6 %,12.9 %
2023-07-09 02:06:21,14.6 %,13 %
2023-07-09 02:21:31,14.7 %,13 %
2023-07-09 02:36:30,14.7 %,12.9 %
2023-07-09 02:51:30,14.7 %,13.1 %
2023-07-09 03:06:30,14.6 %,13 %
2023-07-09 03:21:37,14.7 %,12.9 %
2023-07-09 03:36:46,14.6 %,13.1 %
2023-07-09 03:51:55,14.7 %,13 %
2023-07-09 04:07:00,14.6 %,13.1 %
2023-07-09 04:22:07,14.7 %,13 %
2023-07-09 04:37:15,14.6 %,13 %
2023-07-09 04:52:24,14.7 %,13.1 %
2023-07-09 05:07:30,14.8 %,13.2 %
2023-07-09 05:22:36,14.7 %,13.1 %
2023-07-09 05:37:46,14.6 %,13 %
2023-07-09 05:52:56,14.7 %,13.1 %
2023-07-09 06:08:09,14.5 %,13 %
2023-07-09 06:23:08,14.6 %,13 %
2023-07-09 06:38:18,14.7 %,13 %
2023-07-09 06:53:30,14.8 %,12.9 %
2023-07-09 07:08:40,14.7 %,13 %
2023-07-09 07:23:50,14.5 %,12.9 %
2023-07-09 07:38:56,14.7 %,13 %
2023-07-09 07:54:01,14.5 %,12.9 %
2023-07-09 08:09:07,14.6 %,13 %
2023-07-09 08:24:14,14.6 %,12.9 %
2023-07-09 08:39:24,14.5 %,13 %
2023-07-09 08:54:34,14.5 %,13.1 %
2023-07-09 09:09:40,14.6 %,12.9 %
2023-07-09 09:24:46,14.5 %,12.9 %
2023-07-09 09:39:52,14.5 %,12.9 %
2023-07-09 09:54:57,14.6 %,12.9 %
2023-07-09 10:10:08,14.4 %,12.8 %
2023-07-09 10:25:13,14.2 %,12.9 %
2023-07-09 10:40:13,14.2 %,12.6 %
2023-07-09 10:55:20,14.5 %,12.6 %
2023-07-09 11:10:25,14.3 %,12.6 %
2023-07-09 11:25:37,14.4 %,12.7 %
2023-07-09 11:40:43,14.2 %,12.5 %
2023-07-09 11:55:49,14.1 %,12.6 %
2023-07-09 12:10:55,14.2 %,12.5 %
2023-07-09 12:26:06,14.1 %,12.4 %
2023-07-09 12:41:15,14.1 %,12.3 %
2023-07-09 12:56:20,13.9 %,12.3 %
2023-07-09 13:11:26,13.9 %,12.3 %
2023-07-09 13:26:38,13.8 %,12.3 %
2023-07-09 13:41:39,13.9 %,12.2 %
2023-07-09 13:56:45,13.8 %,12.3 %
2023-07-09 14:11:53,13.8 %,12.1 %
2023-07-09 14:26:59,13.8 %,12.1 %
2023-07-09 14:42:11,13.5 %,12.1 %
2023-07-09 14:57:17,13.5 %,12.1 %
2023-07-09 15:12:25,13.6 %,12.1 %
2023-07-09 15:27:30,,11.9 %
2023-07-09 15:42:37,13.5 %,12 %
2023-07-09 15:57:48,13.3 %,11.9 %
2023-07-09 16:12:56,13.3 %,12.1 %
2023-07-09 16:28:01,13.3 %,12 %
2023-07-09 16:43:08,13.3 %,11.9 %
2023-07-09 16:58:14,13.3 %,11.8 %
2023-07-09 17:13:25,13.2 %,11.8 %
2023-07-09 17:28:30,13.2 %,11.9 %
2023-07-09 17:43:37,13.2 %,11.9 %
2023-07-09 17:58:43,13.2 %,11.9 %
2023-07-09 18:13:49,13.3 %,11.8 %
2023-07-09 18:29:01,13.2 %,11.9 %
2023-07-09 18:44:10,13.3 %,11.8 %
2023-07-09 18:59:17,13.2 %,11.8 %
2023-07-09 19:14:24,13.3 %,12 %
2023-07-09 19:29:23,13.3 %,11.7 %
2023-07-09 19:44:22,13.3 %,11.8 %
2023-07-09 19:59:34,13.3 %,11.8 %
2023-07-09 20:14:39,13.3 %,11.8 %
2023-07-09 20:29:46,13.4 %,11.9 %
2023-07-09 20:44:44,13.3 %,11.8 %
2023-07-09 20:59:51,13.3 %,11.8 %
2023-07-09 21:14:51,13.3 %,11.8 %
2023-07-09 21:29:57,13.3 %,11.9 %
2023-07-09 21:45:04,13.3 %,11.9 %
2023-07-09 22:00:04,13.3 %,11.8 %
2023-07-09 22:15:15,13.3 %,11.8 %
2023-07-09 22:30:20,13.4 %,11.8 %
2023-07-09 22:45:27,13.5 %,11.7 %
2023-07-09 23:00:34,13.3 %,11.8 %
2023-07-09 23:15:40,13.4 %,11.7 %
2023-07-09 23:30:50,13.3 %,11.9 %
2023-07-09 23:46:00,13.3 %,11.9 %
2023-07-10 00:01:09,13.4 %,11.8 %
2023-07-10 00:16:17,13.5 %,11.9 %
2023-07-10 00:31:16,13.3 %,11.8 %
2023-07-10 00:46:23,13.3 %,11.9 %
2023-07-10 01:01:29,13.5 %,11.7 %
2023-07-10 01:16:39,13.4 %,11.8 %
2023-07-10 01:31:51,13.3 %,11.8 %
2023-07-10 01:47:01,13.3 %,11.8 %
2023-07-10 02:02:13,13.4 %,11.9 %
2023-07-10 02:17:12,13.5 %,11.8 %
2023-07-10 02:32:12,13.3 %,11.8 %
2023-07-10 02:47:12,13.3 %,11.8 %
2023-07-10 03:02:18,13.4 %,11.7 %
2023-07-10 03:17:29,13.5 %,11.9 %
2023-07-10 03:32:35,13.5 %,11.9 %
2023-07-10 03:47:33,13.4 %,11.8 %
2023-07-10 04:02:41,13.5 %,11.8 %
2023-07-10 04:17:46,13.5 %,11.7 %
2023-07-10 04:32:56,13.3 %,11.8 %
2023-07-10 04:48:01,13.5 %,11.8 %
2023-07-10 05:03:08,13.5 %,11.8 %
2023-07-10 05:18:13,13.5 %,11.8 %
2023-07-10 05:33:24,13.5 %,11.7 %
2023-07-10 05:48:34,13.5 %,11.9 %
2023-07-10 06:03:39,13.5 %,11.9 %
2023-07-10 06:18:46,13.5 %,11.9 %
2023-07-10 06:33:45,13.4 %,11.9 %
2023-07-10 06:48:51,13.4 %,11.8 %
2023-07-10 07:04:02,13.5 %,11.8 %
2023-07-10 07:19:07,13.4 %,12 %
2023-07-10 07:34:06,13.4 %,11.8 %
2023-07-10 07:49:13,13.3 %,11.9 %
2023-07-10 08:04:19,13.3 %,11.8 %
2023-07-10 08:19:30,13.3 %,11.8 %
2023-07-10 08:34:30,13.4 %,11.8 %
2023-07-10 08:49:30,13.3 %,11.7 %
2023-07-10 09:04:37,13.4 %,11.9 %
2023-07-10 09:19:43,13.2 %,11.7 %
2023-07-10 09:34:55,13.2 %,11.7 %
2023-07-10 09:49:54,13.3 %,11.8 %
2023-07-10 10:05:00,13.2 %,11.8 %
2023-07-10 10:20:06,13.3 %,11.7 %
2023-07-10 10:35:12,13.2 %,11.7 %
2023-07-10 10:50:23,13.1 %,11.5 %
2023-07-10 11:05:31,13.1 %,11.5 %
2023-07-10 11:20:38,12.9 %,11.5 %
2023-07-10 11:35:43,12.9 %,11.4 %
2023-07-10 11:50:54,12.8 %,11.3 %
2023-07-10 12:06:02,12.8 %,11.4 %
2023-07-10 12:21:09,12.7 %,11.4 %
2023-07-10 12:36:16,12.5 %,11.3 %
2023-07-10 12:51:16,12.6 %,11.2 %
2023-07-10 13:06:27,12.4 %,11.3 %
2023-07-10 13:21:33,12.4 %,11.3 %
2023-07-10 13:36:33,12.3 %,11.1 %
2023-07-10 13:51:38,12.2 %,11.1 %
2023-07-10 14:06:38,12.1 %,11.2 %
2023-07-10 16:14:26,11.8 %,10.9 %
2023-07-10 16:15:21,11.9 %,10.8 %
2023-07-10 16:30:26,11.8 %,10.8 %
2023-07-10 16:45:26,11.7 %,10.8 %
2023-07-10 18:27:00,11.7 %,10.7 %
2023-07-10 18:29:14,11.7 %,10.7 %
2023-07-10 18:44:19,11.8 %,10.7 %
2023-07-10 18:59:27,11.7 %,10.7 %
2023-07-10 19:14:32,11.8 %,10.7 %
2023-07-10 19:29:44,11.7 %,10.7 %
2023-07-10 19:44:49,11.7 %,10.8 %
2023-07-10 19:59:55,11.8 %,10.7 %
2023-07-10 20:15:03,11.8 %,10.7 %
2023-07-10 20:30:14,11.8 %,10.6 %
2023-07-10 20:45:19,11.9 %,10.7 %
2023-07-10 21:00:25,11.8 %,10.8 %
2023-07-10 21:15:31,11.9 %,10.9 %
2023-07-10 21:30:44,11.8 %,10.8 %
2023-07-10 21:45:44,11.8 %,10.7 %
2023-07-10 23:58:20,12 %,10.8 %
2023-07-10 23:59:35,12 %,10.8 %
2023-07-11 00:14:42,12 %,10.8 %
2023-07-11 00:29:48,12 %,10.8 %
2023-07-11 00:44:53,11.9 %,11 %
2023-07-11 00:59:53,12 %,11 %
2023-07-11 01:15:03,12 %,10.8 %
2023-07-11 01:30:12,11.9 %,10.9 %
2023-07-11 01:45:17,12 %,11 %
2023-07-11 02:00:24,11.9 %,11 %
2023-07-11 02:15:29,12.1 %,11.1 %
2023-07-11 02:30:39,12 %,11 %
2023-07-11 02:45:51,11.9 %,10.9 %
2023-07-11 03:01:03,12.1 %,11 %
2023-07-11 03:16:15,12 %,11 %
2023-07-11 03:31:22,12.1 %,11 %
2023-07-11 03:46:27,12.1 %,11 %
2023-07-11 04:01:34,12.1 %,11.1 %
2023-07-11 04:16:40,12.1 %,11.1 %
2023-07-11 04:31:50,12.2 %,11.1 %
2023-07-11 04:46:56,12.1 %,11.2 %
2023-07-11 05:02:02,12 %,11.1 %
2023-07-11 05:17:07,12.1 %,11 %
2023-07-11 05:32:14,12.1 %,11 %
2023-07-11 05:47:24,12.1 %,11.2 %
2023-07-11 06:02:34,12.1 %,11.1 %
2023-07-11 06:17:44,12.1 %,11.1 %
2023-07-11 06:32:41,12.1 %,11.1 %
2023-07-11 06:47:49,12.2 %,11.1 %
2023-07-11 07:02:55,12.1 %,11.2 %
2023-07-11 07:18:01,12.1 %,11.1 %
2023-07-11 07:33:00,12.2 %,11.1 %
2023-07-11 07:48:01,12.2 %,11 %
2023-07-11 08:03:07,12.1 %,11.1 %
2023-07-11 08:18:13,12.1 %,11 %
2023-07-11 08:33:19,12.1 %,11.2 %
2023-07-11 08:48:30,12.1 %,11.2 %
2023-07-11 09:03:42,12.2 %,11.2 %
2023-07-11 09:18:52,12.2 %,11 %
2023-07-11 09:34:00,12.2 %,11.1 %
2023-07-11 09:49:05,12.2 %,11.1 %
2023-07-11 10:04:13,12.1 %,11.1 %
2023-07-11 10:19:12,11.9 %,10.9 %
2023-07-11 10:34:23,11.8 %,11.1 %
2023-07-11 10:49:23,12.1 %,10.9 %
2023-07-11 11:04:23,11.8 %,11 %
2023-07-11 11:19:29,11.9 %,11 %
2023-07-11 11:34:35,11.9 %,10.9 %
2023-07-11 11:49:35,11.7 %,10.8 %
2023-07-11 12:04:41,11.7 %,10.8 %
2023-07-11 12:19:47,11.5 %,10.8 %
2023-07-11 12:34:47,11.5 %,10.7 %
2023-07-11 12:49:59,11.3 %,10.7 %
2023-07-11 13:04:58,11.4 %,10.7 %
2023-07-11 13:20:04,11.4 %,10.7 %
2023-07-11 13:35:12,11.2 %,10.7 %
2023-07-11 13:50:17,11.1 %,10.6 %
2023-07-11 14:05:29,11.2 %,10.6 %
2023-07-11 14:20:34,11 %,10.5 %
2023-07-11 14:35:42,10.9 %,10.5 %
2023-07-11 14:50:46,11 %,10.5 %
2023-07-11 15:05:46,11 %,10.5 %
2023-07-11 15:20:57,10.9 %,10.3 %
2023-07-11 15:36:07,10.8 %,10.5 %
2023-07-11 15:51:17,10.9 %,10.5 %
2023-07-11 16:06:23,10.8 %,10.5 %
2023-07-11 16:21:29,10.8 %,10.5 %
2023-07-11 16:36:36,10.8 %,10.3 %
2023-07-11 16:51:44,10.7 %,10.5 %
2023-07-11 17:06:54,10.7 %,10.3 %
2023-07-11 17:22:04,10.7 %,10.5 %
2023-07-11 17:37:09,10.8 %,10.5 %
2023-07-11 17:52:15,11 %,10.6 %
2023-07-11 18:07:23,10.8 %,10.5 %
2023-07-11 18:22:22,10.7 %,10.5 %
2023-07-11 18:37:33,10.8 %,10.5 %
2023-07-11 18:52:39,10.8 %,10.5 %
2023-07-11 19:07:45,11 %,10.4 %
2023-07-11 19:22:44,10.9 %,10.5 %
2023-07-11 19:37:50,11 %,10.5 %
2023-07-11 19:53:01,10.8 %,10.5 %
2023-07-11 20:08:07,11 %,10.4 %
2023-07-11 20:23:06,11 %,10.6 %
2023-07-11 20:38:13,10.9 %,10.4 %
2023-07-11 20:53:19,10.9 %,10.6 %
2023-07-11 21:08:29,11 %,10.5 %
2023-07-11 21:23:35,10.9 %,10.6 %
2023-07-11 21:38:41,11 %,10.6 %
2023-07-11 21:53:46,11 %,10.6 %
2023-07-11 22:08:57,10.9 %,10.6 %
2023-07-11 22:23:56,10.9 %,10.6 %
2023-07-11 22:38:56,11 %,10.6 %
2023-07-11 22:53:56,11 %,10.5 %
2023-07-11 23:09:03,11 %,10.6 %
2023-07-11 23:24:13,10.9 %,10.6 %
2023-07-11 23:39:19,11.1 %,10.6 %
2023-07-11 23:54:24,10.8 %,10.6 %
2023-07-12 00:09:30,11.1 %,10.6 %
2023-07-12 00:24:36,11 %,10.7 %
2023-07-12 00:39:47,11 %,10.7 %
2023-07-12 00:54:57,11.1 %,10.6 %
2023-07-12 01:10:03,11 %,10.6 %
2023-07-12 01:25:09,11 %,10.7 %
2023-07-12 01:40:08,10.8 %,10.7 %
2023-07-12 01:55:15,11 %,10.7 %
2023-07-12 02:10:25,11 %,10.7 %
2023-07-12 02:25:35,11 %,10.7 %
2023-07-12 02:40:45,11 %,10.7 %
2023-07-12 02:55:55,11.1 %,10.7 %
2023-07-12 03:11:05,11.1 %,10.6 %
2023-07-12 03:26:04,10.9 %,10.7 %
2023-07-12 03:41:11,11 %,10.8 %
2023-07-12 03:56:16,11 %,10.7 %
2023-07-12 04:11:16,11 %,10.7 %
2023-07-12 04:26:16,11.1 %,10.7 %
2023-07-12 04:41:27,11 %,10.6 %
2023-07-12 04:56:38,11.1 %,10.7 %
2023-07-12 05:11:49,11 %,10.7 %
2023-07-12 05:27:00,11.1 %,10.8 %
2023-07-12 05:42:11,11 %,10.7 %
2023-07-12 05:57:23,11.1 %,10.8 %
2023-07-12 06:12:34,11.1 %,10.7 %
2023-07-12 06:27:44,11.1 %,10.8 %
2023-07-12 06:42:52,11.1 %,10.8 %
2023-07-12 06:57:59,11.1 %,10.9 %
2023-07-12 07:13:06,11 %,10.7 %
2023-07-12 07:28:13,11 %,10.7 %
2023-07-12 07:43:23,11.1 %,10.7 %
2023-07-12 07:58:37,11.1 %,10.8 %
2023-07-12 08:13:47,11.1 %,10.8 %
2023-07-12 08:28:58,11.1 %,10.8 %
2023-07-12 08:44:09,11.1 %,10.8 %
2023-07-12 08:59:22,11 %,10.7 %
2023-07-12 09:14:32,11.1 %,10.7 %
2023-07-12 09:29:43,11.1 %,10.8 %
2023-07-12 09:44:54,11 %,10.8 %
2023-07-12 10:00:05,11.1 %,10.8 %
2023-07-12 10:15:18,11 %,10.7 %
2023-07-12 10:30:28,11.1 %,10.7 %
2023-07-12 10:45:40,11.1 %,10.7 %
2023-07-12 11:00:51,11 %,10.7 %
2023-07-12 11:16:02,11 %,10.8 %
2023-07-12 11:31:12,11 %,10.7 %
2023-07-12 11:46:24,11 %,10.7 %
2023-07-12 12:01:34,10.9 %,10.7 %
2023-07-12 12:16:45,11 %,10.6 %
2023-07-12 12:31:53,10.8 %,10.6 %
2023-07-12 12:46:59,10.8 %,10.6 %
2023-07-12 13:02:05,10.7 %,10.6 %
2023-07-12 13:17:05,10.6 %,10.6 %
2023-07-12 13:32:16,10.5 %,10.5 %
2023-07-12 13:47:23,10.5 %,10.5 %
2023-07-12 14:02:29,10.5 %,10.5 %
2023-07-12 14:17:38,10.4 %,10.4 %
2023-07-12 14:32:37,10.2 %,10.4 %
2023-07-12 14:47:47,10.2 %,10.3 %
2023-07-12 15:03:00,10.1 %,10.3 %
2023-07-12 15:17:59,10.1 %,10.2 %
2023-07-12 15:32:59,10.1 %,10.3 %
2023-07-12 15:48:07,10 %,10.2 %
2023-07-12 16:03:13,9.90 %,10.2 %
2023-07-12 16:18:12,9.90 %,10.1 %
2023-07-12 16:33:23,10 %,10.2 %
2023-07-12 16:48:22,10 %,10.2 %
2023-07-12 17:56:06,9.90 %,10.1 %
2023-07-12 17:58:20,9.90 %,10.2 %
2023-07-12 18:13:25,10 %,10.2 %
2023-07-12 18:28:32,10 %,10.1 %
2023-07-12 18:43:31,9.90 %,10.1 %
2023-07-12 20:08:38,10.1 %,10.2 %
2023-07-12 20:09:13,10.1 %,10.2 %
2023-07-12 20:24:21,10 %,10.2 %
