"Time","Bare Soil","Cardboard Mulch"
2023-07-01 05:19:59,15.1 %,9.30 %
2023-07-01 05:35:05,15.1 %,9.30 %
2023-07-01 05:50:11,15 %,9.10 %
2023-07-01 06:05:16,15 %,9.30 %
2023-07-01 06:20:27,15.1 %,9.40 %
2023-07-01 06:35:26,15 %,9.20 %
2023-07-01 06:50:33,15 %,9.30 %
2023-07-01 07:05:39,15 %,9.20 %
2023-07-01 07:20:45,14.9 %,9.30 %
2023-07-01 07:35:55,15 %,9.30 %
2023-07-01 07:51:00,15 %,9.10 %
2023-07-01 08:06:07,15.1 %,9.30 %
2023-07-01 08:21:13,15.1 %,9.30 %
2023-07-01 08:36:18,15.1 %,9.30 %
2023-07-01 08:51:17,15.1 %,9.30 %
2023-07-01 09:06:25,15.1 %,9.20 %
2023-07-01 09:21:32,15.1 %,9.20 %
2023-07-01 09:36:38,15 %,9.20 %
2023-07-01 09:51:49,15 %,9.20 %
2023-07-01 10:06:55,15 %,9.30 %
2023-07-01 10:22:01,15 %,9.20 %
2023-07-01 10:37:08,14.9 %,9.20 %
2023-07-01 10:52:19,15.1 %,9.20 %
2023-07-01 11:07:24,14.8 %,9.10 %
2023-07-01 11:22:30,15 %,9.20 %
2023-07-01 11:37:38,14.8 %,9.20 %
2023-07-01 11:52:45,14.8 %,9.20 %
2023-07-01 12:07:56,14.8 %,9.10 %
2023-07-01 12:23:03,14.7 %,8.90 %
2023-07-01 12:38:10,14.7 %,9 %
2023-07-01 12:53:16,14.8 %,8.90 %
2023-07-01 13:08:27,14.6 %,8.90 %
2023-07-01 13:23:35,14.5 %,8.80 %
2023-07-01 13:38:40,14.7 %,8.80 %
2023-07-01 13:53:46,14.5 %,8.80 %
2023-07-01 14:08:57,14.5 %,8.70 %
2023-07-01 14:24:04,14.4 %,8.70 %
2023-07-01 14:39:04,14.4 %,8.70 %
2023-07-01 14:54:12,14.3 %,8.70 %
2023-07-01 15:09:23,14.2 %,8.70 %
2023-07-01 15:24:28,14.2 %,8.60 %
2023-07-01 15:39:36,14.2 %,8.70 %
2023-07-01 15:54:43,14.1 %,8.60 %
2023-07-01 16:09:53,14.1 %,8.50 %
2023-07-01 16:24:52,14 %,8.60 %
2023-07-01 16:39:52,13.9 %,8.50 %
2023-07-01 16:54:59,14 %,8.60 %
2023-07-01 17:10:06,14.1 %,8.50 %
2023-07-01 17:25:16,13.8 %,8.50 %
2023-07-01 17:40:22,13.9 %,8.50 %
2023-07-01 17:55:28,13.9 %,8.50 %
2023-07-01 18:10:35,14 %,8.50 %
2023-07-01 18:25:41,14 %,8.60 %
2023-07-01 18:40:51,13.8 %,8.70 %
2023-07-01 18:55:58,14.1 %,8.50 %
2023-07-01 19:11:03,13.9 %,8.50 %
2023-07-01 19:26:10,14 %,8.50 %
2023-07-01 19:41:16,14.1 %,8.60 %
2023-07-01 19:56:26,13.9 %,8.50 %
2023-07-01 20:11:31,14 %,8.50 %
2023-07-01 20:26:38,14.1 %,8.50 %
2023-07-01 20:41:44,14.1 %,8.50 %
2023-07-01 20:56:49,14 %,8.60 %
2023-07-01 21:12:00,14.1 %,8.60 %
2023-07-01 21:27:08,14.1 %,8.50 %
2023-07-01 21:42:13,14.1 %,8.60 %
2023-07-01 21:57:20,13.9 %,8.50 %
2023-07-01 22:12:25,14.1 %,8.60 %
2023-07-01 22:27:36,14 %,8.60 %
2023-07-01 22:42:42,14.1 %,8.60 %
2023-07-01 22:57:48,14.1 %,8.70 %
2023-07-01 23:12:53,14.1 %,8.60 %
2023-07-01 23:27:59,14.1 %,8.70 %
2023-07-01 23:43:10,14.1 %,8.70 %
2023-07-01 23:58:16,14.1 %,8.70 %
2023-07-02 00:13:15,14.1 %,8.60 %
2023-07-02 00:28:22,14.2 %,8.70 %
2023-07-02 00:43:28,14.1 %,8.70 %
2023-07-02 00:58:27,14.2 %,8.60 %
2023-07-02 01:13:33,14.2 %,8.70 %
2023-07-02 01:28:39,14.1 %,8.60 %
2023-07-02 01:43:45,14.1 %,8.60 %
2023-07-02 01:58:56,14.1 %,8.60 %
2023-07-02 02:14:02,14.2 %,8.70 %
2023-07-02 02:29:08,14.2 %,8.70 %
2023-07-02 02:44:14,14.1 %,8.60 %
2023-07-02 02:59:20,14.1 %,8.60 %
2023-07-02 03:14:30,14.1 %,8.70 %
2023-07-02 03:29:40,14.1 %,8.60 %
2023-07-02 03:44:50,14.2 %,8.60 %
2023-07-02 03:59:49,14.1 %,8.70 %
