date_collected,block,plot,treatment,crop,direction,marketable_yield_g,unmarketable_yield_g,total_yield_g,notes
3Aug2023,3,H,SM,FC,NA,392,0,392,
3Aug2023,3,I,CM,AS,NA,0,0,0,
3Aug2023,4,A,SM,FC,NA,368,0,368,
3Aug2023,4,C,BM,AS,NA,0,0,0,
3Aug2023,4,D,BM,FC,NA,539,0,539,
3Aug2023,4,F,SM,AS,NA,0,0,0,
3Aug2023,4,G,CM,FC,NA,461,0,461,
3Aug2023,4,I,CM,AS,NA,12,0,12,
3Aug2023,5,A,CM,AS,NA,0,0,0,
3Aug2023,5,B,CM,AS,NA,0,0,0,
3Aug2023,5,C,SM,AS,NA,0,1,1,
3Aug2023,5,D,SM,AS,NA,0,0,0,
3Aug2023,5,E,BM,AS,NA,0,0,0,
3Aug2023,5,F,CM,AS,NA,0,0,0,
3Aug2023,5,G,BM,AS,NA,0,0,0,
3Aug2023,5,H,SM,AS,NA,0,0,0,
3Aug2023,5,I,BM,AS,NA,0,0,0,
3Aug2023,edge,edge,edge,AS,NA,NA,NA,20,
3Aug2023,edge,edge,edge,DB,NA,NA,NA,8529,
3Aug2023,edge,edge,edge,FC,NA,NA,NA,3677,
